"","user_id","col_name","col_state","major","col_cbsa","hs_name","hs_state","hs_fips","hs_cbsa","hs_shock","col_start","col_end","hs_end","birth","CONTROL","C21UGPRF","CARNEGIE","HBCU","TRIBAL","LANDGRNT","CBSATYPE","col_shock","barrons","cbsa_code","cbsa_n_state","same_cbsa","same_state","in_state_col","yr_return_cbsa","yr_return_state","col_hs_diff_cbsa"
"1",3898909,"Ashford University","CA","empty","41740","Wylie E Groves High School","MI","06","19820",-0.0177262085876982,2017,2002,2002,1984,3,11,31,2,2,2,1,0.0146138755834376,4,"29820","NV",0,0,0,NA,NA,1
"2",5487611,"Wichita State University","KS","Business","48620","Southeast High School","OH","20","10420",-0.00698959131142521,1998,2002,1998,1980,1,9,16,2,2,2,1,-0.0119319610664141,4,"48620","KS",0,0,0,NA,NA,1
"3",7137241,"Kansas State University","KS","Economics","31740","Henry County High School","KY","20","31140",-0.00416135447305351,2000,2002,2000,1982,1,11,15,2,2,1,1,0.0158101705591039,5,"31740","KS",0,0,0,NA,NA,1
"4",7644206,"St Lawrence University","NY","empty","36999","Berwick Academy","ME","36","38860",0.00905911344134045,1998,2002,1998,1980,2,14,31,2,2,2,2,-0.0104964009073237,3,"38060","AZ",0,0,0,NA,NA,1
"5",10718776,"Buena Vista University","IA","Education","19999","West High School","IA","19","43580",-0.0197398581797525,2021,2002,2002,1984,2,13,32,2,2,2,2,-0.0109280492018791,4,"43580","IA",1,1,1,2003,2003,1
"6",11742443,"Georgetown University","DC","Finance","47900","Lawrence Academy","MA","11","14460",-0.000762986599338982,1998,2002,1998,1980,2,14,15,2,2,2,1,0.00583229890958874,1,"31700","NH",0,0,0,NA,NA,1
"7",11895932,"Endicott College","MA","empty","14460","Hebron Academy","ME","25","23999",0.0123641809730715,1998,2002,1998,1980,2,12,32,2,2,2,1,-0.000762986599338982,4,"30340","ME",0,1,0,NA,2003,1
"8",12113451,"University of Delaware","DE","empty","37980","Carlisle High School","IA","10","19780",0.00253420959035985,1998,2002,1998,1980,1,14,15,2,2,1,1,-0.00229496908983688,3,"37980","PA",0,0,0,NA,NA,1
"9",14470179,"Hesston College","KS","empty","48620","Hesston High",NA,"20",NA,NA,2002,2002,2002,1984,2,11,40,2,2,2,1,-0.0119319610664141,999,"20999","KS",NA,NA,NA,NA,NA,NA
"10",14660734,"University of Southern Mississippi","MS","Chemistry","25620","Quitman high school","MS","28","28999",-0.0228908200963732,1998,2002,1998,1980,1,11,15,2,2,2,1,-0.0159037916392483,4,"27140","MS",0,1,1,NA,2003,1
