"file","variable"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","postfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsafilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","countyfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","ctcountyfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","superopeidfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","opeidunitidfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","Mode"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","x"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","na.rm"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","ux"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","%nin%"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","superope_ope_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","ope_unit_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","raw_county"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","ct_county"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","county"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","county_full"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_fips"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","addendum"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_na"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","unified_cbsa"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_code_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","unified_cbsa_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","nonmetros"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","metros"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_li_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","institution_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","unitid_super_opeid_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","name_crosswalk_1"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","name_crosswalk_2"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","name_crosswalk_3"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","eckertcbpfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp19filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp20filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp21filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp22filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","share_year"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp22"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp21"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp20"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp19"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_census"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_cbsa"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_nat"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","pct_change"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","x"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","raw_change"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_nat_chg"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shift_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shifts"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","w_share"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shares"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_shock"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shock_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","growth_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","i"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shock_lag_names"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","growth_lag_names"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shock_avg_3_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shock_avg_5_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","shock_avg_7_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","growth_avg_3_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","growth_avg_5_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","growth_avg_7_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_shock_ptile"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","avg_3"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","avg_5"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","avg_7"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","avg_names"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","Mode"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","x"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","na.rm"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","ux"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","aaufilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","mobilityfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","cpi_base_year"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","aau"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_institutions"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_acceptance"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_deg_award"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_mobility"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_finance"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_grad_rates"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","raw_instate"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","payload1"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","payload2"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","payload3"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","response1"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deflator1"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","response2"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deflator2"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","response3"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deflator3"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deflator_combined"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","cpi_annual"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","base_cpi"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","acceptance_grouped"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","institutional_characteristics"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deg_award_total"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deg_award_detail"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deg_award"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","recruitment"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","recruitment_grouped"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","unitid_super_opeid_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","deg_award_super_opeid"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","unit_super_opeid_weights"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","mobility"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","finance_recode"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","finance"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","grad_rates"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","state_region_crosswalk"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","pubfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","privfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","Mode"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","x"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","na.rm"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","ux"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","%nin%"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","public"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","private"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","public_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","private_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","leading_zero_zip"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","replacements"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","all_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","col_p5"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","still"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","edufilename1"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","edufilename1edit"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","edufilename2"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","edutfilename2edit"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","misfitscorrection"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","%nin%"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","ed_li1"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","ed_li2"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","ed_li"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","ed_li_sample"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","clean_university_names"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","name"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","contains_keywords"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","pattern_1"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","hs_match"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","not_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","name_counts"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","frequent_names"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","merged1"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","merged2"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","col_match"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","misfits"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","misfit_counts"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","misfits_correction"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","merged3"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","inst_counts"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","replacements"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","nces_alt_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","college_names"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","li_alt_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","duplicated_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","stripped_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","still_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","col_users"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","hs_users"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","both"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","transfer"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","col_users_length"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","both_hs_col_length"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","posfilename1"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","posfilename2"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","posfilename3"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","msastringfilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","zipcodefilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","work_history_start"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","work_history_end"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","max_post_grad"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","min_post_grad"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","pos1"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","pos2"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","pos"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","position"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","full_position"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","pos_summary"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","both_col"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","both_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","merge_col_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","transfer"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","no_trans_merge_col_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","trans_merge_col_hs"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","trans_length"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","trans_latest"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","trans_earliest"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","work_earliest"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","inst_zip"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","duplicated_hs_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","nondup"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","nd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","anti_nd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","anti_nd_freq"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","dup"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","d"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","dt_zips"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","birth_position"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","msa"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","cbsa_core"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","string_cleaning"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","patterns"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","replacements"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","li_core"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","no_work_location"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","non_chronological_work"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","no_work_date"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","startdate_before_enddate"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","start"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","end"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","interval"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","work_hist"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","std_pos"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","std_pos_geo"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","x"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","na.rm"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","ux"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","std_pos_soc"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","almost_completed"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","no_work_hist"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","col_state"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","completed"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","college_dne"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","completed_melt"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","numerator"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","directory"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","zipcodefilename"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","cpi_base_year"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","min_post_grad"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","max_post_grad"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","raw_microdata"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","col_cbsas"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","get_mode"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","x"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","unique_x"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","occp_prestige"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return_cbsa"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return_state"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","year"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","col_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","cum_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","stock"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","cumulative"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return_cbsa_temp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return_state_temp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","microdata"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","level"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","cbsa_col"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","state_col"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","comparison_matrix"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","col"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","match_indices"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","levels"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","geos"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","ranges"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","groups"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return_results"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","geo"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","conditions"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","range"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","cond_str"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","i"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","return_by_year"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","birth_outliers"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","territory_hs_col"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","hs_zip"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","dt_zips"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","bls_occupation_filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","bls_education_filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","occupational_prestige_filename"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","raw_prestige"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","soc_educ"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","raw_occp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","soc_labels"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","soc_2_labels"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","soc_3_labels"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","soc_occp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","microdata_socp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","micro_socp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","misfit_socp_list"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","soc_full"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","prestige_imputation_3"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","prestige_imputation_2"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","misfit_socp"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","total_workers"
"D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd","workers_per_bin"
