"file","variable","producer_files"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_name","D:/Users/martensn/BRAIN_DRAIN/Code/09b_plots_old.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","state_code","D:/Users/martensn/BRAIN_DRAIN/Code/09_plots.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/intercensal.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","unified_cbsa","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","year","D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","fips","D:/Users/martensn/BRAIN_DRAIN/Code/09_plots.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/intercensal.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","inst_group","D:/Users/martensn/BRAIN_DRAIN/Code/06_finalize_data.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/08_data_generation.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","inst_name","D:/Users/martensn/BRAIN_DRAIN/Code/a_hs_col_construct.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/00_alias_generation.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","institution_crosswalk","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","microdata","D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/06_finalize_data.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/09b_plots_old.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/10_roi.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","total","D:/Users/martensn/BRAIN_DRAIN/Code/08_data_generation.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","unified_cbsa","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_col_chars.Rmd","year","D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","county_full","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd","unified_cbsa","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","col_p1","D:/Users/martensn/BRAIN_DRAIN/Code/demo.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/01_col_hs_crosswalk.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/02_embed_new.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","col_p2","D:/Users/martensn/BRAIN_DRAIN/Code/demo.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/01_col_hs_crosswalk.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/02_embed_new.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","col_p3","D:/Users/martensn/BRAIN_DRAIN/Code/demo.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/01_col_hs_crosswalk.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","col_p4","D:/Users/martensn/BRAIN_DRAIN/Code/demo.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/01_col_hs_crosswalk.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_dedup_col.R","data_dir","D:/Users/martensn/BRAIN_DRAIN/Code/demo.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/01_col_hs_crosswalk.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/02_embed.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/03_crosswalk_val.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/04_col_hs_construct.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/05_demographics.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/06_census.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","all_hs","D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","name_crosswalk_1","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","name_crosswalk_2","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","name_crosswalk_3","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd","superope_ope_crosswalk","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","both","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/d_sample_construction.R;D:/Users/martensn/BRAIN_DRAIN/Code/e_detect_mismatches.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/04_col_hs_construct.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","cbsa_code_name","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","cbsa_fips","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","cbsa_li_crosswalk","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","cbsa_na","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","col_match","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","col_name","D:/Users/martensn/BRAIN_DRAIN/Code/05_merge.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","col_users","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","duplicated_hs","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","ed_li","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/c_col_hs_classification.R;D:/Users/martensn/BRAIN_DRAIN/Code/d_sample_construction.R;D:/Users/martensn/BRAIN_DRAIN/Code/e_detect_mismatches.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","ed_li_sample","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","frequent_names","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","hs_match","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","hs_users","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","li_alt_name","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","n","D:/Users/martensn/BRAIN_DRAIN/Code/07_regressions.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/b_embedding_test.R;D:/Users/martensn/BRAIN_DRAIN/Code/c_col_hs_classification.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/02_embed.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/02_embed_new.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","name_counts","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","nces_alt_name","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","not_hs","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","private","D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/a_hs_col_construct.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/00_alias_generation.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","private_hs","D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","public","D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd;D:/Users/martensn/BRAIN_DRAIN/Code/a_hs_col_construct.R;D:/Users/martensn/BRAIN_DRAIN/Code/new/00_alias_generation.R"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","public_hs","D:/Users/martensn/BRAIN_DRAIN/Code/02_hs_chars.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","raw_county","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","still_hs","D:/Users/martensn/BRAIN_DRAIN/Code/03_li_ed.Rmd"
"D:/Users/martensn/BRAIN_DRAIN/Code/04_li_ed_pos.Rmd","unified_cbsa_name","D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd"
