old_path,new_path,size,bucket,confidence,note
/p/BRAIN_DRAIN/Data/.DS_Store,(DELETE),22532,_review/junk,high,"OS/Office/download cruft, staged for deletion in Phase 7 -- not moved anywhere"
/p/BRAIN_DRAIN/Data/01/.DS_Store,(DELETE),8196,_review/junk,high,"OS/Office/download cruft, staged for deletion in Phase 7 -- not moved anywhere"
/p/BRAIN_DRAIN/Data/01/barrons_mod.xlsx,/p/BRAIN_DRAIN/Data/raw/rankings_membership/barrons_mod.xlsx,48496,raw/rankings_membership,high,Barron's college selectivity rankings
/p/BRAIN_DRAIN/Data/01/CBSACrosswalk.csv,/p/BRAIN_DRAIN/Data/raw/census_geo/CBSACrosswalk.csv,90751,raw/census_geo,high,Census/OMB geography crosswalk
/p/BRAIN_DRAIN/Data/01/chetty_college.xlsx,/p/BRAIN_DRAIN/Data/raw/chetty_oi/chetty_college.xlsx,941152,raw/chetty_oi,high,Opportunity Insights / Chetty mobility data
/p/BRAIN_DRAIN/Data/01/counties.xlsx,/p/BRAIN_DRAIN/Data/raw/census_geo/counties.xlsx,23996269,raw/census_geo,high,Census/OMB geography crosswalk
/p/BRAIN_DRAIN/Data/01/Crosswalks/.DS_Store,(DELETE),6148,_review/junk,high,"OS/Office/download cruft, staged for deletion in Phase 7 -- not moved anywhere"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2000.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2000.xlsx,2517621,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2001.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2001.xlsx,2498218,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2002.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2002.xlsx,2311443,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2003.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2003.xlsx,2254474,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2004.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2004.xlsx,2231943,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2005.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2005.xlsx,2162895,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2006.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2006.xlsx,2233281,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2007.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2007.xlsx,2334699,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2008.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2008.xlsx,2432644,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2009.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2009.xlsx,2587270,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2010.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2010.xlsx,2699373,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2011.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2011.xlsx,2785145,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2012.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2012.xlsx,2823785,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2013.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2013.xlsx,2795397,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2014.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2014.xlsx,2799469,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
/p/BRAIN_DRAIN/Data/01/Crosswalks/CW2015.xlsx,/p/BRAIN_DRAIN/Data/raw/ipeds/CW2015.xlsx,2774247,raw/ipeds,high,"IPEDS master crosswalk linking subunits to institutional identifiers, confirmed by user"
