"file","variable"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","%in%"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","CBSA Code"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","CBSA Title"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_city"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_state"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","cbsa_state_n"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","clean_name1"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","clean_name2"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","county_code"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","county_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","FIPS County Code"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","FIPS State Code"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","full_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","GeoFIPS"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","IPEDSInstnm"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","IPEDSMatch"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","noncbsa_code"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","opeid"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","OPEID"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","PEPSSchname"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","state_abbr"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","state_code"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","state_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","super_opeid"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","system_name"
"D:/Users/martensn/BRAIN_DRAIN/Code/00_crosswalks.Rmd","unitid"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","..shift_cols"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd",".SD"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_cbsa_actual"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbp_cbsa_proj"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_actual"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_code"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_growth"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_proj"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_proj_change"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","cbsa_total"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","chg_loo_total"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","emp"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","fips_county"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","fipscty"
"D:/Users/martensn/BRAIN_DRAIN/Code/01_shocks.Rmd","fipstate"
